"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.775429250E0,-9.933471680E-3,2.560916138E1,-4.278131104E1,4.986050360E1
2.785455250E0,-3.555297852E-3,2.577044678E1,-4.231082153E1,4.954110978E1
2.795481250E0,-1.974105835E-1,2.575079346E1,-4.271801758E1,4.987956857E1
2.805506250E0,-3.229141235E-1,2.552117920E1,-4.278045654E1,4.981568351E1
2.815532250E0,-3.962707520E-2,2.551385498E1,-4.258557129E1,4.964362243E1
2.825558250E0,-1.591873169E-1,2.569680786E1,-4.288787842E1,4.999721382E1
2.835583250E0,-1.585388184E-2,2.562014771E1,-4.261138916E1,4.972044555E1
2.845609250E0,-1.702270508E-1,2.555691528E1,-4.300491333E1,5.002606787E1
2.855635250E0,-3.410110474E-1,2.548016357E1,-4.282458496E1,4.983272119E1
2.865660250E0,-2.239608765E-1,2.547796631E1,-4.298187256E1,4.996617150E1
2.875686250E0,-1.764602661E-1,2.570547485E1,-4.291854858E1,5.002803602E1
2.885712250E0,-1.616516113E-1,2.577941895E1,-4.303356934E1,5.016465551E1
2.895737250E0,-1.497955322E-1,2.552993774E1,-4.299179077E1,5.000094233E1
2.905763250E0,-1.537017822E-1,2.578662109E1,-4.284234619E1,5.000440059E1
2.915789250E0,-1.345520020E-1,2.555441284E1,-4.300500488E1,5.002475952E1
2.925814250E0,-2.009658813E-1,2.551080322E1,-4.303097534E1,5.002505679E1
2.935840250E0,-1.611938477E-1,2.561285400E1,-4.293750000E1,4.999673169E1
2.945866250E0,-2.039108276E-1,2.528222656E1,-4.281283569E1,4.972093583E1
2.955891250E0,-2.232284546E-1,2.547314453E1,-4.297521973E1,4.995798669E1
2.965917250E0,-2.498931885E-1,2.563656616E1,-4.294195557E1,5.001307348E1
2.975943250E0,-2.861328125E-1,2.564736938E1,-4.292626953E1,5.000534016E1
2.985968250E0,-1.855621338E-1,2.531503296E1,-4.306781006E1,4.995719758E1
2.995994250E0,-1.940765381E-1,2.558609009E1,-4.293344116E1,4.997965628E1
3.006020250E0,-8.997344971E-2,2.560833740E1,-4.307238770E1,5.011013492E1
3.016045250E0,-1.544265747E-1,2.549374390E1,-4.317575073E1,5.014080451E1
3.026071250E0,-1.366500854E-1,2.546368408E1,-4.305856323E1,5.002457144E1
3.036097250E0,-1.235885620E-1,2.543753052E1,-4.305499268E1,5.000815561E1
3.046122250E0,-8.937072754E-2,2.572067261E1,-4.305755615E1,5.015490134E1
3.056148250E0,5.552673340E-2,2.533004761E1,-4.301763916E1,4.992125473E1
3.066174250E0,3.771209717E-2,2.529873657E1,-4.288177490E1,4.978829293E1
3.076199250E0,-2.130889893E-1,2.536050415E1,-4.283151245E1,4.977689260E1
3.086225250E0,6.636047363E-2,2.553115845E1,-4.234579468E1,4.944705029E1
3.096251250E0,-3.758239746E-2,2.558218384E1,-4.275567627E1,4.982466654E1
3.106277250E0,1.193161011E-1,2.558294678E1,-4.260305786E1,4.969428479E1
3.116302250E0,-1.313858032E-1,2.555038452E1,-4.292990112E1,4.995814070E1
3.126328250E0,-3.050460815E-1,2.544909668E1,-4.297839355E1,4.994889276E1
3.136354250E0,-2.025604248E-1,2.561679077E1,-4.294891357E1,5.000870102E1
3.146379250E0,-2.551956177E-1,2.565246582E1,-4.312310791E1,5.017685286E1
3.156405250E0,-2.588653564E-1,2.547940063E1,-4.305130005E1,5.002680585E1
3.166431250E0,-2.262954712E-1,2.560540771E1,-4.287167358E1,4.993664496E1
